,,,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率,M稅後淨利率
 駿熠電,s3642,3642 駿熠電,-19.83,-23.33,-26.1,-24.41,-28.96,-3.96,-4.13,3.06,2.93,-1.46,-6.44,-4.39,-1.54,2.3,4.92,2.5,1.76,3.15
 達邁,s3645,3645 達邁,9.84,-1.4,-14.6,9.68,12.03,11.06,14.67,15.31,12.72,6.94,1.94,9.62,10.61,7.69,6.28,17.35,21.08,24.82
 艾恩特,s3646,3646 艾恩特,8.09,7.53,1.83,0.81,2.12,-4.26,-5.38,-4.19,-2.23,-2.1,-4.53,2.05,3.07,1.72,3.19,-1.78,-3.08,-5.66
 精聯,s3652,3652 精聯,1.48,0.31,-1.64,1.68,0.66,0.81,1.45,1.75,1.81,1.79,0.85,1.15,0.43,-0.82,-5.52,0.34,-1.62,-2.95
 健策,s3653,3653 健策,5.88,7.07,4.81,6.84,9.06,6.34,6.04,10.95,11.55,11.45,9.56,8.14,7.08,2.06,0.47,7.23,8.89,10.08
 世芯-KY,s3661,3661 世芯-KY,-9.7,-13.25,0.92,3.41,1.82,-2.54,-7.96,4.5,5.81,5.2,6.32,4.38,0.83,-6.7,-14.6,0.35,,0.79
 樂陞,s3662,3662 樂陞,,14.11,10.2,26.17,26.47,38.27,21.41,39.57,16.85,-84.87,-95.24,8.31,-64.65,-24.12,-32.4,25.89,3.99,-89.14
 鑫科,s3663,3663 鑫科,2.34,2.7,2.04,-8.59,-8.01,-4.31,-4.83,0.38,0.09,-0.26,0.54,-0.39,-0.17,-0.16,0.27,1.41,1.29,0.93
 安瑞-KY,s3664,3664 安瑞-KY,-16.38,-20.38,-23.75,5.91,6.75,22.12,-75.45,1.49,-7.57,-3.67,-9.95,3.75,-7.16,-13.68,-41.61,-15.81,-22.14,-26.12
 貿聯-KY,s3665,3665 貿聯-KY,9.34,8.65,8.08,9.03,8.98,8.61,8.98,8.25,8.06,7.36,5.82,7.92,8.24,8.02,6.37,5.42,5.25,4.98
 光耀,s3666,3666 光耀,0.96,2.78,4.73,1.91,-3.03,-7.29,-7.12,14.75,14.95,12.56,13.41,13.01,14.45,17.5,15.07,3.89,,0.99
 圓展,s3669,3669 圓展,7.2,4.93,0.87,-1.63,-1.48,-4.93,-10.73,1.15,3.63,4.35,0.88,-2.89,-0.96,-0.46,0.36,2.23,3.86,0.96
 康聯訊,s3672,3672 康聯訊,8.46,8.91,8.91,11.26,12.43,11.55,12.32,12.72,13.93,15.5,17.86,9.33,,9.61,,2.81,,-2.98
 TPK-KY,s3673,3673 TPK-KY,-2.8,-6.52,0.07,-16.54,-24.25,-3.08,-3.48,0.44,0.43,0.96,0.64,4.79,7.76,9.11,9.65,8.27,7.81,7.26
 德微,s3675,3675 德微,8.44,8.37,6.91,8.69,8.85,7.61,7.07,5.24,5.01,3.94,2.99,-2.43,-2.37,-2.62,-6.64,-5.33,-3.54,-1.93
 新至陞,s3679,3679 新至陞,13.71,12.62,9.47,7.72,6.06,2.92,0.79,7.14,6.87,6.54,6.93,5.74,5.33,3.4,3.35,7.78,7.52,8.31
 家登,s3680,3680 家登,-1.06,-2.03,-5.39,0.35,-1.37,-4.41,-5.15,1.63,1.63,1.46,2.33,1.2,-3.12,-5.81,-4.45,10.17,12.68,16.45
 亞太電,s3682,3682 亞太電,-35.62,-33.78,-25.75,-10.78,-18.23,-14.75,-8.58,-51.6,3.46,4.65,7.62,9.16,10.48,11.83,12.11,12.83,,16.11
 榮昌,s3684,3684 榮昌,10.2,10.93,8.77,15.73,15.04,11.39,9.23,13.13,12.96,11.51,11.91,10.78,9.58,10.52,14.14,9.64,,10.58
 元創精密,s3685,3685 元創精密,7.92,10.91,-2.88,-38.82,-5.4,10.38,11.05,-16.7,-26.26,-23.5,-17.5,6.5,8.39,5.89,5.45,1.91,2.02,-6.23
 達能,s3686,3686 達能,-31.32,-15.64,-15.89,-38.34,-35.23,-38.37,-34.64,-28.97,-25.66,-22.39,-22.02,-61.72,-68.97,-86.85,-116.33,-84.17,-66.45,-54.08
 歐買尬,s3687,3687 歐買尬,-32.46,-28.78,-16.04,-13.22,-10.99,-8.37,-25.3,-112.72,-75.43,-81.66,-90.02,-40.49,-29.55,-11.83,3.71,19.19,25.79,29.64
 湧德,s3689,3689 湧德,2.44,1.22,0.88,3.66,4.15,5.05,5.65,9.76,10,8.66,7.3,10.96,11.46,11.72,11.22,11.45,11.9,10.96
 碩禾,s3691,3691 碩禾,13.19,11.55,13.34,15.25,15.55,11.97,12.5,15.32,14.63,14.25,17.9,12.57,11.83,14.54,17.44,16.81,18.28,20.44
 營邦,s3693,3693 營邦,2.55,1.22,1.7,6.77,6.98,5.43,5.65,10.27,9.63,11.13,13.63,10.8,11.24,11.4,13.02,7.2,,4.8
 海華,s3694,3694 海華,1.31,0.58,0.94,0.59,-0.62,-4.59,-8.43,-10.43,-10.45,-18.52,-7.31,-4.04,-4.09,-4.27,-4.67,-1.53,-0.49,-0.31
 隆達,s3698,3698 隆達,-1.66,-2.02,-0.52,1.9,2.23,2.82,4.56,4.24,4.41,2.63,0.65,6.89,8.77,10.96,15.13,2.89,3.02,2.66
 大眾控,s3701,3701 大眾控,2,1.15,1.01,-5.12,-3.13,-3.18,0.06,-4.5,-3.47,-6.56,-12.26,-4.95,-4.87,-5.52,-8.12,-5.83,-1.93,-3.01
 大聯大,s3702,3702 大聯大,1.26,1.22,1.28,1.05,1.12,1.1,1.3,1.28,1.33,1.35,1.36,1.17,1.27,1.29,1.2,1.24,1.3,1.24
 欣陸,s3703,3703 欣陸,-1.11,-3.8,-0.14,2.61,1.72,3.37,5.61,-4.35,6.5,6.65,-2.05,5.23,2.13,-0.98,-0.21,5,4.18,5.14
 合勤控,s3704,3704 合勤控,0.8,1.67,2.79,-3.02,-3.53,-6.31,-9.14,0.84,1.86,2.77,1.32,1.99,0.68,-1.52,-3.13,-0.18,-1.47,-2.53
 永信,s3705,3705 永信,11.52,14.62,9.69,14.84,13.17,12.31,13.68,12.5,13.13,12.94,13.55,12.23,11.38,11.84,12.55,9.33,9.79,10.96
 神達,s3706,3706 神達,4.73,3.76,1.79,3.5,3.59,3.17,3.22,1.81,1.63,1.35,-0.45,4.8,4.44,,,,,
 漢磊,s3707,3707 漢磊,-9.12,-8.08,-10.53,-17.19,-13.59,-10.73,-11.6,-16.97,,,,,,,,,,
 上緯投控,s3708,3708 上緯投控,0.99,,,,,,,,,,,,,,,,,
 永日,s4102,4102 永日,-29.51,-21.32,-20.84,-8.71,-10.29,-19.27,-29.77,-23.95,-25.73,-34.96,-41.22,-22.26,-24.65,-6.79,-5.86,0.81,2.42,4.72
 百略,s4103,4103 百略,10.37,8.04,7.05,10.55,11.27,7.83,8.88,10.54,10.41,7.94,7.55,10.7,12.86,13.11,14.11,10.37,12.8,10.29
 佳醫,s4104,4104 佳醫,8.19,8.66,10.18,7.54,7.42,7.61,6.92,6.34,6.83,6.94,7.06,5.69,7.01,7.19,4.93,6.02,6.95,6.43
 東洋,s4105,4105 東洋,32.28,36.99,33.44,39.01,24.02,20.43,14.42,27.24,9.1,6.6,8.37,20.72,26.36,37.51,60.72,16.98,17.17,22.65
 雃博,s4106,4106 雃博,7.31,7.81,9.25,8.63,8.54,10.57,12.21,8.75,9.78,10.02,10.43,7.25,6.68,8.47,9.04,11.11,12.22,13.14
 邦特,s4107,4107 邦特,25.51,26.81,26.12,25.07,27.21,24.17,23.64,25.89,25.46,25.25,24.32,22.47,22.94,22.44,21.54,19.74,18.48,17.66
 懷特,s4108,4108 懷特,"-1,032","-1,410.69","-2,308.18","-1,154.36","-1,257.58","-1,490.95","-1,723.26",-382.76,-290.95,-284.23,-142.11,-132.61,-57.31,-23.88,17.8,-63.02,-58.96,-67.87
 穆拉德,s4109,4109 穆拉德,1.53,3.45,6.42,5.21,4.33,3.94,5.04,1.25,1.55,2.04,2.15,2.61,0.13,-2.23,-0.21,2.18,2.46,2
 濟生,s4111,4111 濟生,6.57,5.57,4.13,4.19,5.35,4.18,2.89,7.74,9.54,8.78,8.69,10.38,9.09,7.63,5.21,8.17,8.94,9.46
 聯上,s4113,4113 聯上,9.3,12.66,15.21,28.96,56.72,20.66,25.4,32.23,31.92,20.71,17.64,29.18,21.08,21.74,23.12,23.71,23.48,20.58
 健喬,s4114,4114 健喬,9.64,14.73,32.81,-1.59,0.72,1.02,2.43,4.17,5.85,7.23,9.52,4.5,3.9,3.62,2.95,6.34,8.53,10.33
 明基醫,s4116,4116 明基醫,4.77,5.12,4.31,12.26,18.44,25.04,5.13,7.45,7.28,6.28,4.27,5.27,,4.08,,4.75,,3.95
 旭富,s4119,4119 旭富,23.28,24.69,24.31,20.65,21.4,21.27,20.95,17.75,18.77,19.82,16.98,12.37,12.41,15.56,15.91,15.4,14.56,14.36
 友華,s4120,4120 友華,6.86,7.9,11.74,2.77,3.36,4.25,8.34,2.62,3.32,3.47,4.27,9.36,14.14,16.18,9.74,3.76,4.16,3.76
 優盛,s4121,4121 優盛,-1.36,-1.29,-0.99,-2.22,-1.25,-1.57,-1.88,-0.2,-0.18,0.13,0.65,0.39,1.07,2.26,7.15,1.14,1.64,0.82
 晟德,s4123,4123 晟德,2.23,0.24,1.05,6.41,-3.21,-37.13,-36.9,53.18,2.32,31.09,11.87,9.06,5.92,-20.72,-12.29,8.6,-5.2,-12.1
 太醫,s4126,4126 太醫,20.58,21.49,22.98,21.66,20.47,16.06,18.7,21.7,19.89,19.37,22.94,22.29,23.2,24.65,25.89,21.79,22.35,22.06
 天良,s4127,4127 天良,-4.2,-1.13,2.2,5.84,7.88,10.01,12.57,7.29,7.31,7.49,8.26,5.34,6.03,6.44,4.84,4.2,4.86,7.54
 中天,s4128,4128 中天,-24.16,-28.09,-34.77,-18.16,-25.09,-26.09,-29.49,-15.37,-20.96,-25.01,-31.35,-13.55,-8.19,-1.23,15.68,-2.7,-5.65,0.09
 聯合,s4129,4129 聯合,11.05,17.11,23.47,9.61,10.64,9.89,5.83,7.42,7,7.06,10.31,2.23,3.48,6.82,7.35,4.09,4.75,7.37
 健亞,s4130,4130 健亞,12.07,14.92,24.71,9.73,12.37,11.62,16.14,15.26,19.33,19.67,18.98,11.5,14.49,15.29,12.83,17.26,22.45,9.69
 晶宇,s4131,4131 晶宇,-153.25,-149.77,-115.87,-77.3,-99.71,-105.6,-69.02,-81.72,-112.81,-98.69,-57.5,-73.66,-64.51,-26.95,-20.69,-78.73,-100.59,-129.13
 亞諾法,s4133,4133 亞諾法,10.76,12.16,12.44,9.95,10.25,11.09,0.53,14.98,12.93,11.86,12.63,15.72,16.87,18.18,19.17,16.57,17.45,18.3
 麗豐-KY,s4137,4137 麗豐-KY,23.87,26.06,29.37,26.56,25.01,22.69,21.27,24.61,24.82,25.03,25.34,25.66,27.91,25.76,25.05,24.51,26.7,
 曜亞,s4138,4138 曜亞,11.33,10.75,11.17,9.86,9.78,9.51,8.74,9.16,8.56,9.88,8.64,4.2,2.46,3.29,4.93,10.15,12.91,14.28
 馬光-KY,s4139,4139 馬光-KY,-10.99,-11.55,-11.8,-9.48,-9.79,-10.56,-13.22,-5.73,-4.48,2.15,18.61,-11.58,-11.73,-28.08,-8.16,4.41,4.97,10.01
 龍燈-KY,s4141,4141 龍燈-KY,4.54,7.57,12.96,-1.89,-7.72,-5.96,-19.05,3.99,3.49,5.11,3.82,3.97,1.02,-3.68,-5.97,6.56,4.84,3.88
 國光生,s4142,4142 國光生,-131.97,-177.28,-335.63,-269.08,-270.68,-446.9,-551.83,-128.62,-116.56,-68.6,"-2,936.85",-145,-152.5,-208.5,"-2,533.08",-155.92,-183.07,-193.69
 康聯-KY,s4144,4144 康聯-KY,11.76,12.3,14.55,14.4,16.91,19.11,21.66,21.88,24.17,27.75,29.17,21.14,27.32,27.86,29.47,18.51,21.05,22.64
 中裕,s4147,4147 中裕,"-11,975.22","-15,096.75","-26,930.29",,,,,,,,,,,,,,,
 台微體,s4152,4152 台微體,"-1,910.05","-1,655.46","-1,747.33","-1,130.46","-1,092.85",-892.85,-543,-659.77,-499.39,-347.31,-360.45,-252.75,-163.95,-34.3,-7.89,-77.76,-7.39,-32.42
 鈺緯,s4153,4153 鈺緯,0.39,3.68,-1.42,11.19,12.15,9.15,7.58,13.27,12.57,10.86,11.89,8.41,8.71,8.89,8.52,4.06,4,2.03
 康樂-KY,s4154,4154 康樂-KY,6.5,-0.98,5.7,-4.56,-2.65,0.34,2.47,5.07,0.65,1.94,3.62,3.47,7.79,8.24,6.97,17.53,16.82,18.32
 太景*-KY,s4157,4157 太景*-KY,-213.64,-193.97,-547.69,-529.45,-498.22,-490.71,-450.46,-385.97,-338.81,-286.98,-125.33,-618.52,-526.73,-366.34,-270.52,"-1,158.25",,
 創源,s4160,4160 創源,-0.59,-2.23,0.06,-4.67,-1.63,-0.22,-7.45,-11.05,-5.82,-1.81,0.93,-20.7,-24.52,-23.79,-21.84,-7.09,-1.52,1.07
 聿新科,s4161,4161 聿新科,0.37,0.35,-7.58,5.81,5.16,6.83,8.75,6.27,5.59,9.4,16.71,16.46,11.9,8.33,2.58,3.3,-4.86,-14.04
 智擎,s4162,4162 智擎,22.26,50.51,"-2,710.91",77.68,84.17,77.71,-506.99,53.97,69.85,-440,-206.74,-315.1,-360.66,-153.37,-131.79,26.62,35.51,76.8
 鐿鈦,s4163,4163 鐿鈦,16.84,18.5,15.42,15.6,14.87,10.98,13.84,17.54,18.25,17.74,17.52,16.08,17.07,17.66,18.06,13.02,15.16,9.74
 承業醫,s4164,4164 承業醫,2.59,2.15,2.53,9.3,7.41,4.76,-18.4,12.62,11.59,12.77,8.5,14.14,14.78,11.81,1.11,21.63,21.7,17.79
 展旺,s4167,4167 展旺,-21.64,-27.82,-39.93,-44.06,-38.25,-37.34,-40.84,-34.92,-38.14,-26.92,-32.22,-22.86,-19.68,-21.65,,-54.05,,-67.13
 醣聯,s4168,4168 醣聯,"-31,101.97","-20,060.10","-12,970.64","-1,107.54",-952.91,-589.38,"-1,538.88",-525.26,"-7,338.22","-7,057.39","-4,569.32",-60.05,-344.68,-354.07,-284.22,17.95,-233.82,-200.42
 瑞基,s4171,4171 瑞基,-15.19,-10.46,-16.61,-16.64,-13.22,-27.87,-40.09,-22.77,-21.98,-33.47,-45.69,-60.52,-55.83,-59.12,-86.66,-23.46,,-23.53
 久裕,s4173,4173 久裕,1.92,2.45,1.66,1.87,1.85,2.25,1.52,2.58,2.9,2.8,2.47,3.94,3.7,3.68,3.25,3.29,,2.94
 浩鼎,s4174,4174 浩鼎,-901.21,-503.51,,,,,,,,,,,,,,,,
 杏一,s4175,4175 杏一,2.51,2.68,2.85,3.12,3.22,3.3,3.79,2.69,2.52,2.55,3.11,3.07,3.18,3.14,3.58,1.1,,0.65
 安成藥,s4180,4180 安成藥,-117.27,-115.69,-129.96,-99.43,-111.13,-159.99,-390.22,-254.25,-216.52,-245.79,-173.22,-135.56,-166.29,-484.02,-437.28,-159.97,,-118.8
 安克,s4188,4188 安克,-621.97,-881.33,"-15,306","-43,730.50",,,,,,,,,,,,"-4,811.54",,
 佐登-KY,s4190,4190 佐登-KY,14.86,14.69,15.17,19.69,20.78,20.64,18.96,17.4,16.99,15.32,13.15,17.31,23.55,,,13.74,,
 杏國,s4192,4192 杏國,"-3,404.45","-3,406.61","-3,315.35","-1,178.09","-1,203.36",-782.49,"-3,979.34","-4,561.94","-4,850.42","-4,481.32","-3,747.32","-13,922.54",,,,,,
 環瑞醫,s4198,4198 環瑞醫,-115.69,-104.08,-123.16,-90.56,-90.31,-131.38,-168.39,-85.18,-94.14,-77.35,-76.66,-100.58,,-46.18,,-50.67,,
 中華食,s4205,4205 中華食,16.12,15.34,14.47,13.96,14.09,12.57,11.31,11.22,11.38,10.54,10.89,11.18,11.25,11.66,9.99,12.08,12.81,13.62
 環泰,s4207,4207 環泰,3.85,2.64,0.66,0.81,0.6,1,-0.34,2.5,4.28,4.12,4.03,7.73,8.99,7.02,8.13,7.06,7.31,6.3
 信立,s4303,4303 信立,3.55,2.86,3.88,8.65,9.58,6.35,1.61,10.36,11.19,9.82,7.31,5.42,4.79,3.5,-1.06,-1.18,0.03,-1.41
 勝昱,s4304,4304 勝昱,-8.56,-4.48,5.12,-19.51,-14.66,-12.45,-11.3,-21.86,-22.93,-26.95,-28.84,-16.4,-15.97,-19.37,-22.23,-5.3,-8.77,-4.84
 世坤,s4305,4305 世坤,12.55,14.58,13.34,13.01,12.5,11.03,9.67,9.01,8.6,8.99,9.81,10.68,11.21,12.01,12.19,9.42,9.56,9.41
 炎洲,s4306,4306 炎洲,-0.4,0.72,2.84,2.62,3.36,3.35,-2.36,2.04,3.22,1.92,2.43,5.03,6.28,7.59,7.93,3.04,3.31,4.13
 東隆興,s4401,4401 東隆興,12.32,12.46,12.45,12.13,12.3,12.24,10.93,10.54,11.17,11.38,12.1,13.25,12.87,12.77,12.49,7.86,7.83,7.17
 福大,s4402,4402 福大,14.66,-23.53,-21.22,-23.73,-20.13,-18.69,-20.58,-10.86,-9.34,-7.46,-8.72,-12.91,-14.11,-17.78,-16.99,-14.35,-14.11,-11.18
 新昕纖,s4406,4406 新昕纖,1.31,3.26,-1.34,0.17,0.05,0.07,-5.2,-2.08,-1.71,-0.65,-2.62,-2.66,-2.17,-0.64,-1.09,-2.05,-3.1,-2.68
 飛寶,s4413,4413 飛寶,-0.73,-1.7,-5.41,3.43,3.3,-4.61,-13.56,-19.15,-24.01,-19.25,-0.7,-55.11,-68.82,-56.95,-139.08,-71.23,-104.37,-175.85
 如興,s4414,4414 如興,-7.44,-4.45,-5.62,-20.48,-8.14,-9.31,-9.55,1.15,1.91,3.1,7.77,3.05,3.34,3.2,3.25,1.88,2.84,1.9
 台原藥,s4415,4415 台原藥,-305.26,-717.49,-746.94,-346.16,-37.23,-272.07,-698.79,-630.15,-406.89,-189.04,-342.94,-106.27,-164.13,-133.48,-126.32,-111.89,-131.38,-132.04
 三圓,s4416,4416 三圓,-119.59,-104.64,-27.69,51.71,52.58,53.56,10.79,15.83,17.1,18.36,58.64,13.75,12.39,15.01,30.07,32.56,33.15,32.31
 金洲,s4417,4417 金洲,18.85,17.5,14.62,11.01,11.82,12.24,14.68,6.98,6.35,4.93,5.39,6.56,6.65,5.92,8.84,14.29,16.88,5.44
 松懋,s4419,4419 松懋,-129.69,-86.42,-161.67,-117.45,-45.2,-50.39,-49.27,-43.46,-39.44,-26.14,-22.65,-37.77,-27.02,-9.35,-5.12,-3.49,-4.8,-5.93
 光明,s4420,4420 光明,2.2,2.09,3.28,16.24,23.92,46.31,7.59,7.15,6.05,5.77,-2.45,0.42,0.59,1.2,3.4,3.39,3.73,4.22
 利勤,s4426,4426 利勤,28.91,26.35,34.31,27.76,29.28,27.66,27.92,19.5,15.84,12.66,16.01,16.38,15.48,16.92,18.53,14.28,15.73,15.02
 聚紡,s4429,4429 聚紡,1.56,2.52,6.72,1.57,5.7,4.61,5.8,1.78,3.22,4.75,2.85,3.24,3.98,4.41,2.22,4.42,6.26,9
 耀億,s4430,4430 耀億,2.99,4.42,6.67,6.57,7.43,7.61,6.55,6.05,6.5,8.04,6.7,5.98,7.47,9.16,9,5.51,5.92,6.87
 銘旺實,s4432,4432 銘旺實,7.07,8.23,8.89,10.99,11.99,9.18,12.17,10.1,10.21,9.72,12.14,9.24,8.82,10.51,12.96,8.18,7.88,7.8
 興采,s4433,4433 興采,2.72,3.75,1.71,4.71,5.12,6.76,0.15,2.47,3.57,4.64,4.79,4.8,6.28,7.69,6.82,3.93,,6.37
 廣越,s4438,4438 廣越,9.3,2.72,-12.85,10.04,11.43,4.92,,10.85,,,,12.85,,,,13.58,,
 健信,s4502,4502 健信,0.92,1.3,0.15,0.28,-3.68,0.58,-4.34,-10.87,-10.85,-10.16,-13.27,-16.01,-16.35,-13.54,-13.66,-6.87,-5.86,-4.28
 金雨,s4503,4503 金雨,6.55,10.16,12.74,-1.26,1.2,0.08,-1.94,-12.5,-12.41,-14.14,-23.09,-21.37,-14.22,-13.14,-33.21,-1.41,-22.82,-21.91
 崇友,s4506,4506 崇友,15.9,15.98,15.93,11.98,13.3,14.47,16.3,9.73,11.01,11.13,9.62,8.53,12.24,13.34,15.83,8.02,9.89,11.88
 高鋒,s4510,4510 高鋒,4.09,3.33,0.15,5.96,8.5,6.36,7.84,8.09,7.23,7.17,10.35,6.63,6.87,5.87,2.94,1.26,2.11,2.59
 福裕,s4513,4513 福裕,-5.86,-4.77,-7.14,6.07,10.17,0.86,1.72,2.14,1.86,1.91,0.69,-1.02,-1.9,-1.65,-1.69,1.88,2.83,3.73
 永彰,s4523,4523 永彰,1.16,-0.33,-3.04,-0.09,-2.27,-1.43,-5.17,2.56,1.53,1.66,3.96,2.96,2.88,3.18,6.82,1.15,3.81,2.96
 東台,s4526,4526 東台,-0.23,0.35,-1.53,3.52,4.43,1.46,0.31,7.5,8.09,6.9,9.09,4.87,5.18,5.18,2.65,4.27,4.25,4.15
 方土霖,s4527,4527 方土霖,8.39,6.83,3.92,7.76,6.14,5.52,4.89,7.36,7.47,7.78,6.95,7.48,6.06,4.82,2.24,5.82,5.53,4.47
 江興鍛,s4528,4528 江興鍛,9.76,9.54,10.05,12.21,12.55,13.07,15.53,12.22,11.02,9.12,10.94,11.05,11.29,11.65,12.74,10.56,11.48,12.58
 昶洧,s4529,4529 昶洧,-660.41,-372.62,"-2,501.28",-769.36,-365.88,"-3,202.88","-2,919.43",-569.64,-370.4,-152.57,-58.68,"25,723.81","26,906.50","30,155.62","-2,895.33",-20.22,-14.68,-15.78
 宏易,s4530,4530 宏易,686.75,-337.99,-323.62,-116.07,-247.56,-105.3,-126.15,-89.57,-85.67,-99.03,-157.11,-94.12,-45.51,-28.43,-26.52,-57.16,-19.93,-13.07
 瑞智,s4532,4532 瑞智,8.81,9.42,7.73,5.88,6.67,6.5,6.51,6.69,6.94,6.54,6.21,6.42,6.42,6.36,5.62,7.46,7.33,6.85
 協易機,s4533,4533 協易機,5,5.01,5.02,2.5,3.43,3.9,1.54,4.65,5.04,6.35,6.94,4.8,4.91,5.61,7.19,3.47,3.71,4.97
 慶騰,s4534,4534 慶騰,5.84,3.65,-0.52,3.94,3.11,-1.08,-4.51,6.59,6.58,5.44,0.33,6.92,5.48,4.85,-0.37,-6.79,-5.93,-8.46
 至興,s4535,4535 至興,9.05,8.99,9.7,8.28,8.36,7.07,6.5,7.07,7.2,7.57,8.96,6.69,6.67,6.99,6.77,6.22,6.68,7.57
 拓凱,s4536,4536 拓凱,12.39,12.94,15.72,8.96,9.34,7.43,4.4,9.23,9.07,6.9,4.73,9.69,10.67,11.81,11.76,7.01,,3.96
 晟田,s4541,4541 晟田,-1.68,0.87,-5.09,5.35,5.51,4.56,3.18,9.03,9.49,9.67,10.98,11.01,10.14,11.14,5.64,6.65,,
 科嶠,s4542,4542 科嶠,-25.78,-31.48,-44.45,-2.21,3.12,1.1,5.09,16.96,17.14,16.86,20.1,13.74,12.91,14.12,13.45,15.27,,11.43
 萬在,s4543,4543 萬在,4.02,4.72,2.79,8.51,9.01,6.31,10.32,11.85,12.59,13.33,,9.31,,8.16,,7.95,,10.3
 銘鈺,s4545,4545 銘鈺,7.21,8.56,6.53,15.39,16.53,14.95,18.5,15.86,16.36,13.08,12.95,10.06,,5.02,,7.66,,
 桓達,s4549,4549 桓達,16.95,18.42,25.2,15.92,16.34,15.7,13.73,21.06,20.9,21.55,16.55,20.25,,,,21.74,,
 長佳,s4550,4550 長佳,6.46,8.14,5.52,3.46,4.56,5.85,3.73,5.97,4.98,4.33,1.93,8.59,,3.52,,11.47,,-1.25
 智伸科,s4551,4551 智伸科,12.31,12.57,12.29,9.51,9.41,8.21,6.36,11.45,11.8,12.6,13.02,8.02,,8.89,,4.87,,
 力達-KY,s4552,4552 力達-KY,12.07,12.39,13.71,12.27,12.42,12.53,12.36,11.25,11.13,10.44,9.82,10.47,,,,10.09,,
 橙的,s4554,4554 橙的,5.69,5.66,3.19,7.63,8.09,6.79,7.53,10.92,,9.32,7.74,11.53,,9.97,,11.68,,
 氣立,s4555,4555 氣立,13.25,13.07,8.34,17.6,21.28,20.03,14.44,24.22,24.45,25.98,19.79,31.63,,34.21,,28.23,,
 旭然,s4556,4556 旭然,3.82,5.67,1.34,7.11,6.01,1.85,1.28,9.64,7.79,7.76,2.29,11.23,,,,6.75,,
 永新-KY,s4557,4557 永新-KY,15.83,15.62,14.01,13.72,14.02,10.75,8.56,14.18,13.72,12.67,11.91,12.22,,,,7.48,,
 唐鋒,s4609,4609 唐鋒,2.34,-0.18,-0.58,-1.8,-1.24,-12.91,-11.83,-3.3,-1.54,-3.77,-6.07,-2,-1.47,-2.01,-3.72,-4.74,-2.51,-4.55
 中美實,s4702,4702 中美實,-12.29,-12.25,-14.34,6.93,10.78,13.3,18.83,8.37,1.51,-2.32,2.6,-0.44,-3.56,2.22,21.3,-2.58,-3.47,-1.71
 大恭,s4706,4706 大恭,9.78,9.95,8.09,7.1,5.73,3.94,3.43,5.07,5.49,4.52,5.99,6.23,6.71,5.99,5.05,5.21,5.92,4.95
 磐亞,s4707,4707 磐亞,13.69,11.04,10.82,9.31,10.93,10.98,12.54,22,24.15,25.79,26.51,20.4,22.72,23.72,22.58,21.7,21.7,20.52
 永純,s4711,4711 永純,8.86,9.7,8.68,3.68,2.88,1.47,2.22,1.94,1.71,2.12,3.14,2.38,1.7,2.32,2.52,2.32,2.5,3.42
 南璋,s4712,4712 南璋,-12.11,-15.23,-12.91,-11.38,-3.05,-2.87,-1.86,-11.62,-10.53,-3.57,-3.84,-23.07,-25.18,-33.77,-96.06,8.27,11.05,17.4
 永捷,s4714,4714 永捷,7.9,4.13,4.71,2.31,3.09,3.18,4.96,2.14,2.25,3.64,7.55,4.37,3.53,3.92,4.71,0.36,1.46,4.4
 大立,s4716,4716 大立,2.85,3.25,1.91,3.8,2.92,2.52,3.13,2.88,2.14,2.02,2.78,3.31,3.49,3.86,4.14,4.78,5.15,4.63
 德淵,s4720,4720 德淵,2.67,2.86,2.66,4.17,4.71,3.88,2.94,3.66,3.18,1.59,0.47,2.44,2.69,3.83,2.19,3.18,3.34,3.36
 美琪瑪,s4721,4721 美琪瑪,5.16,6.3,6.32,5.75,6.21,2.93,3.45,4.29,4.23,5.28,6.76,3.76,3.26,2.14,0.75,2.93,3.66,3.13
 國精化,s4722,4722 國精化,7.73,8.26,8.65,7.72,7.37,5.88,5.47,3.58,2.92,2.08,2.06,2.88,2.86,2.52,3.06,3.76,3.01,2.36
 信昌化,s4725,4725 信昌化,-5.27,-6.6,-15.9,-15.87,-14.14,-13.85,-21.17,-2.49,-1.18,-1,-0.83,-2.89,-2.32,-1.41,-1,-0.39,0.11,1.13
 永昕,s4726,4726 永昕,-106.81,-281.21,-600.86,-82.23,-122.04,-455.97,-309.29,-77.05,-149.16,-105.52,-940.54,-138.59,-304.61,-323.2,"-2,907.16",-281.27,,-712.51
 雙美,s4728,4728 雙美,-10.27,-25.75,9.39,-39.57,-24.58,-24.9,-3.42,10.79,11.03,6.43,11.92,22.4,22.32,23.95,25.69,11.61,2.99,11.49
 熒茂,s4729,4729 熒茂,11.41,11.21,12.44,1.11,-0.77,-1.91,-4.8,-0.25,-0.21,-0.55,-4.85,-15.07,-11.67,-13.82,-19.85,-11.96,-9.95,-9.16
 豪展,s4735,4735 豪展,6.66,5.05,7.11,5.81,5.67,3.84,3.5,3.41,3.18,2.57,0.71,-5.36,-3.37,0.86,-8.38,-5.05,-4.15,-7.5
